Folder,Spectrogram1,Spectrogram2,Similarity
m8,m8_script3_ipad_confroom2.wav.png,m8_script3_ipad_balcony1.wav.png,0.5166824999999999
m8,m8_script3_ipad_confroom2.wav.png,m8_script1_ipad_bedroom1.wav.png,0.5900099999999999
m8,m8_script3_ipad_confroom2.wav.png,m8_script2_iphone_livingroom1.wav.png,0.6076524999999999
m8,m8_script3_ipad_confroom2.wav.png,m8_script2_ipadflat_office1.wav.png,0.49802749999999996
m8,m8_script3_ipad_confroom2.wav.png,m8_script3_ipadflat_confroom1.wav.png,0.719625
m8,m8_script3_ipad_confroom2.wav.png,m8_script1_ipad_balcony1.wav.png,0.4671925
m8,m8_script1_ipad_livingroom1.wav.png,m8_script1_ipad_confroom1.wav.png,0.906475
m8,m8_script1_ipad_livingroom1.wav.png,m8_script4_ipad_confroom2.wav.png,0.548265
m8,m8_script1_ipad_livingroom1.wav.png,m8_script4_iphone_balcony1.wav.png,0.55332
m8,m8_script1_ipad_livingroom1.wav.png,m8_script2_ipad_confroom1.wav.png,0.5710925
m8,m8_script1_ipad_livingroom1.wav.png,m8_script4_ipad_bedroom1.wav.png,0.57794
m8,m8_script1_ipad_livingroom1.wav.png,m8_script2_ipad_office2.wav.png,0.605735
m8,m8_script1_ipad_livingroom1.wav.png,m8_script3_ipad_office1.wav.png,0.5340674999999999
m8,m8_script1_ipad_livingroom1.wav.png,m8_script4_ipad_balcony1.wav.png,0.5350025
m8,m8_script1_ipad_livingroom1.wav.png,m8_script5_ipad_confroom1.wav.png,0.5648275
m8,m8_script1_ipad_livingroom1.wav.png,m8_script4_ipadflat_office1.wav.png,0.4616325
m8,m8_script1_ipad_livingroom1.wav.png,m8_script4_iphone_bedroom1.wav.png,0.54459
m8,m8_script1_ipad_livingroom1.wav.png,m8_script1_ipadflat_confroom1.wav.png,0.9052725
m8,m8_script1_ipad_livingroom1.wav.png,m8_script1_ipad_confroom2.wav.png,0.9118725
m8,m8_script1_ipad_livingroom1.wav.png,m8_script2_ipad_balcony1.wav.png,0.46209750000000005
m8,m8_script1_ipad_livingroom1.wav.png,m8_script1_iphone_livingroom1.wav.png,0.8577
m8,m8_script1_ipad_livingroom1.wav.png,m8_script4_ipad_confroom1.wav.png,0.5374025
m8,m8_script1_ipad_livingroom1.wav.png,m8_script1_ipadflat_office1.wav.png,0.6899275
m8,m8_script1_ipad_livingroom1.wav.png,m8_script5_ipadflat_office1.wav.png,0.5067125
m8,m8_script1_ipad_livingroom1.wav.png,m8_script2_ipad_bedroom1.wav.png,0.6111925
m8,m8_script1_ipad_livingroom1.wav.png,m8_script3_ipad_confroom1.wav.png,0.6092275
m8,m8_script1_ipad_livingroom1.wav.png,m8_script5_ipad_confroom2.wav.png,0.5807625000000001
m8,m8_script1_ipad_livingroom1.wav.png,m8_script4_ipad_livingroom1.wav.png,0.5768925
m8,m8_script1_ipad_livingroom1.wav.png,m8_script3_iphone_bedroom1.wav.png,0.54531
m8,m8_script1_ipad_livingroom1.wav.png,m8_script2_ipad_confroom2.wav.png,0.5803875000000001
m8,m8_script1_ipad_livingroom1.wav.png,m8_script3_iphone_balcony1.wav.png,0.5149225
m8,m8_script1_ipad_livingroom1.wav.png,m8_script2_ipad_office1.wav.png,0.51075
m8,m8_script1_ipad_livingroom1.wav.png,m8_script3_ipad_office2.wav.png,0.6440825
m8,m8_script1_ipad_livingroom1.wav.png,m8_script3_iphone_livingroom1.wav.png,0.5720974999999999
m8,m8_script1_ipad_livingroom1.wav.png,m8_script1_ipad_office1.wav.png,0.7392925
m8,m8_script1_ipad_livingroom1.wav.png,m8_script3_ipadflat_office1.wav.png,0.46684000000000003
m8,m8_script1_ipad_livingroom1.wav.png,m8_script5_iphone_bedroom1.wav.png,0.5593775000000001
m8,m8_script1_ipad_livingroom1.wav.png,m8_script4_ipad_office1.wav.png,0.4928175
m8,m8_script1_ipad_livingroom1.wav.png,m8_script5_ipad_office2.wav.png,0.5998525
m8,m8_script1_ipad_livingroom1.wav.png,m8_script2_ipadflat_confroom1.wav.png,0.6253975
m8,m8_script1_ipad_livingroom1.wav.png,m8_script5_iphone_balcony1.wav.png,0.5253300000000001
m8,m8_script1_ipad_livingroom1.wav.png,m8_script1_iphone_bedroom1.wav.png,0.8240375
m8,m8_script1_ipad_livingroom1.wav.png,m8_script5_ipad_balcony1.wav.png,0.46959249999999997
m8,m8_script1_ipad_livingroom1.wav.png,m8_script5_ipadflat_confroom1.wav.png,0.6038825
m8,m8_script1_ipad_livingroom1.wav.png,m8_script5_ipad_bedroom1.wav.png,0.6214999999999999
m8,m8_script1_ipad_livingroom1.wav.png,m8_script1_iphone_balcony1.wav.png,0.62364
m8,m8_script1_ipad_livingroom1.wav.png,m8_script2_ipad_livingroom1.wav.png,0.6267050000000001
m8,m8_script1_ipad_livingroom1.wav.png,m8_script4_iphone_livingroom1.wav.png,0.57177
m8,m8_script1_ipad_livingroom1.wav.png,m8_script2_iphone_balcony1.wav.png,0.5146124999999999
m8,m8_script1_ipad_livingroom1.wav.png,m8_script3_ipad_bedroom1.wav.png,0.6330975
m8,m8_script1_ipad_livingroom1.wav.png,m8_script4_ipadflat_confroom1.wav.png,0.58782
m8,m8_script1_ipad_livingroom1.wav.png,m8_script1_ipad_office2.wav.png,0.892645
m8,m8_script1_ipad_livingroom1.wav.png,m8_script2_iphone_bedroom1.wav.png,0.62937
m8,m8_script1_ipad_livingroom1.wav.png,m8_script3_ipad_livingroom1.wav.png,0.646285
m8,m8_script1_ipad_livingroom1.wav.png,m8_script5_iphone_livingroom1.wav.png,0.5684549999999999
m8,m8_script1_ipad_livingroom1.wav.png,m8_script4_ipad_office2.wav.png,0.5625275000000001
m8,m8_script1_ipad_livingroom1.wav.png,m8_script5_ipad_office1.wav.png,0.49524749999999995
m8,m8_script1_ipad_livingroom1.wav.png,m8_script3_ipad_balcony1.wav.png,0.4503825
m8,m8_script1_ipad_livingroom1.wav.png,m8_script1_ipad_bedroom1.wav.png,0.936165
m8,m8_script1_ipad_livingroom1.wav.png,m8_script2_iphone_livingroom1.wav.png,0.6207425
m8,m8_script1_ipad_livingroom1.wav.png,m8_script2_ipadflat_office1.wav.png,0.5136775
