"","Folder","Spectrogram1","Spectrogram2","Similarity"
"33312","f6","f6_script2_ipad_livingroom1.wav.png","f6_script2_ipad_office2.wav.png",0.908805
"28577","f9","f9_script1_ipadflat_office1.wav.png","f9_script1_ipad_confroom2.wav.png",0.9087925
"29345","f9","f9_script5_ipad_confroom1.wav.png","f9_script5_ipad_confroom2.wav.png",0.9087925
"18660","f2","f2_script3_iphone_livingroom1.wav.png","f2_script3_ipad_livingroom1.wav.png",0.9087725
"26436","m3","m3_script2_iphone_bedroom1.wav.png","m3_script2_ipad_livingroom1.wav.png",0.9087575
"40708","f1","f10_script4_ipad_confroom2.wav.png","f10_script4_ipad_livingroom1.wav.png",0.90873
"23860","m2","m2_script3_ipad_livingroom1.wav.png","m2_script3_ipadflat_office1.wav.png",0.9087175
"26007","m3","m3_script5_ipad_bedroom1.wav.png","m3_script5_iphone_livingroom1.wav.png",0.9087175
"11108","m7","m7_script2_ipadflat_confroom1.wav.png","m7_script2_ipad_confroom2.wav.png",0.9086925
"32562","f6","f6_script2_ipad_bedroom1.wav.png","f6_script2_ipad_office2.wav.png",0.9086825
"24268","m2","m2_script3_ipadflat_office1.wav.png","m2_script3_iphone_livingroom1.wav.png",0.9086775
"244","m8","m8_script4_ipad_confroom2.wav.png","m8_script4_ipad_confroom1.wav.png",0.9086575
"9686","m6","m6_script5_ipadflat_confroom1.wav.png","m6_script5_ipad_livingroom1.wav.png",0.9086525
"1044","m8","m8_script2_ipad_bedroom1.wav.png","m8_script2_ipadflat_confroom1.wav.png",0.9086375
"35227","f1","f1_script1_ipadflat_office1.wav.png","f1_script1_ipad_confroom2.wav.png",0.9086275
"23446","m2","m2_script3_ipad_confroom2.wav.png","m2_script3_ipadflat_confroom1.wav.png",0.90861
"27563","m4","m4_script1_ipadflat_confroom1.wav.png","m4_script1_iphone_bedroom1.wav.png",0.9085825
"22122","m5","m5_script4_ipad_confroom2.wav.png","m5_script4_ipadflat_confroom1.wav.png",0.90858
"9453","m6","m6_script2_ipad_office2.wav.png","m6_script2_ipad_confroom2.wav.png",0.9085525
"17726","f3","f3_script2_iphone_bedroom1.wav.png","f3_script2_ipad_bedroom1.wav.png",0.9085475
"28476","f9","f9_script3_ipad_confroom2.wav.png","f9_script3_ipad_livingroom1.wav.png",0.90853
"41018","f8","f8_script4_ipad_confroom1.wav.png","f8_script4_ipadflat_confroom1.wav.png",0.908475
"38348","f1","f1_script5_ipad_bedroom1.wav.png","f1_script5_ipad_office1.wav.png",0.9084325
"22616","m5","m5_script2_ipad_confroom1.wav.png","m5_script2_ipadflat_confroom1.wav.png",0.908405
"12780","m9","m9_script2_iphone_bedroom1.wav.png","m9_script2_ipadflat_confroom1.wav.png",0.9083825
"13444","m9","m9_script1_ipad_confroom1.wav.png","m9_script1_ipad_office1.wav.png",0.9083625
"34680","f1","f10_script2_ipad_livingroom1.wav.png","f10_script2_ipad_confroom2.wav.png",0.90834
"4544","m1","m1_script4_ipad_bedroom1.wav.png","m1_script4_ipad_office2.wav.png",0.9082875
"40829","f1","f10_script4_ipad_livingroom1.wav.png","f10_script4_iphone_livingroom1.wav.png",0.9082875
"30136","f9","f9_script1_ipad_bedroom1.wav.png","f9_script1_ipad_office2.wav.png",0.908275
"15207","f4","f4_script3_ipadflat_office1.wav.png","f4_script3_iphone_bedroom1.wav.png",0.9082125
"16197","f3","f3_script3_ipadflat_confroom1.wav.png","f3_script3_iphone_livingroom1.wav.png",0.9082025
"10434","m6","m6_script1_ipad_bedroom1.wav.png","m6_script1_ipadflat_confroom1.wav.png",0.90818
"37625","f1","f10_script2_ipadflat_office1.wav.png","f10_script2_ipad_confroom2.wav.png",0.9081775
"27418","m4","m4_script2_ipad_confroom1.wav.png","m4_script2_ipad_office1.wav.png",0.908155
"26592","m3","m3_script2_iphone_livingroom1.wav.png","m3_script2_ipad_livingroom1.wav.png",0.9081525
"24577","m2","m2_script2_ipad_office2.wav.png","m2_script2_ipad_office1.wav.png",0.9081125
"9479","m6","m6_script4_ipadflat_confroom1.wav.png","m6_script4_ipad_livingroom1.wav.png",0.90805
"38500","f1","f1_script4_ipad_office2.wav.png","f1_script4_ipad_confroom2.wav.png",0.90805
"1556","m8","m8_script1_iphone_bedroom1.wav.png","m8_script1_ipad_bedroom1.wav.png",0.908015
"19549","f5","f5_script4_ipad_confroom2.wav.png","f5_script4_ipad_office2.wav.png",0.908015
"25139","m3","m3_script4_ipad_confroom1.wav.png","m3_script4_ipad_confroom2.wav.png",0.907985
"30226","f7","f7_script1_iphone_livingroom1.wav.png","f7_script1_ipadflat_confroom1.wav.png",0.9079725
"41335","f8","f8_script3_ipad_confroom1.wav.png","f8_script3_ipad_confroom2.wav.png",0.90794
"30657","f7","f7_script3_ipad_office2.wav.png","f7_script3_ipad_confroom2.wav.png",0.9078925
"3921","m1","m10_script5_iphone_bedroom1.wav.png","m10_script5_ipadflat_confroom1.wav.png",0.9078625
"7233","m1","m10_script3_ipad_confroom2.wav.png","m10_script3_ipad_office2.wav.png",0.9078575
"29837","f9","f9_script5_ipad_confroom2.wav.png","f9_script5_ipad_bedroom1.wav.png",0.9078475
"35741","f1","f10_script3_iphone_bedroom1.wav.png","f10_script3_iphone_livingroom1.wav.png",0.90784
"31328","f7","f7_script1_ipad_confroom1.wav.png","f7_script1_ipad_bedroom1.wav.png",0.90773
"11472","m7","m7_script1_ipad_office2.wav.png","m7_script1_ipad_office1.wav.png",0.90771
"12978","m9","m9_script5_ipad_confroom2.wav.png","m9_script5_ipad_livingroom1.wav.png",0.907685
"40684","f1","f1_script2_ipad_livingroom1.wav.png","f1_script2_ipadflat_confroom1.wav.png",0.907685
"32163","f6","f6_script5_ipad_livingroom1.wav.png","f6_script5_ipad_office2.wav.png",0.9076425
"7734","m1","m10_script5_ipad_bedroom1.wav.png","m10_script5_ipad_confroom2.wav.png",0.907635
