"","Folder","Spectrogram1","Spectrogram2","Similarity"
"22332","m5","m5_script3_ipad_confroom2.wav.png","m5_script3_ipad_bedroom1.wav.png",0.94829
"24257","m2","m2_script3_ipadflat_office1.wav.png","m2_script3_ipad_office1.wav.png",0.9482775
"1074","m8","m8_script3_ipad_confroom1.wav.png","m8_script3_ipad_office2.wav.png",0.9482375
"18049","f2","f2_script1_ipad_livingroom1.wav.png","f2_script1_ipad_confroom2.wav.png",0.948225
"25872","m3","m3_script5_ipad_livingroom1.wav.png","m3_script5_ipad_bedroom1.wav.png",0.94817
"2341","m1","m10_script1_iphone_balcony1.wav.png","m10_script1_ipad_balcony1.wav.png",0.9481625
"14234","f4","f4_script5_ipad_balcony1.wav.png","f4_script5_iphone_balcony1.wav.png",0.9480225
"19346","f2","f2_script2_ipad_bedroom1.wav.png","f2_script2_ipad_livingroom1.wav.png",0.94797
"24381","m2","m2_script4_ipad_office2.wav.png","m2_script4_ipadflat_confroom1.wav.png",0.94791
"12542","m9","m9_script4_ipad_confroom1.wav.png","m9_script4_ipadflat_confroom1.wav.png",0.9479
"18763","f2","f2_script4_ipad_confroom2.wav.png","f2_script4_ipad_livingroom1.wav.png",0.9478
"27163","m4","m4_script5_ipad_livingroom1.wav.png","m4_script5_ipad_bedroom1.wav.png",0.9476875
"23963","m2","m2_script3_ipad_confroom1.wav.png","m2_script3_ipadflat_confroom1.wav.png",0.94753
"17235","f3","f3_script3_ipad_balcony1.wav.png","f3_script3_iphone_balcony1.wav.png",0.947445
"21406","m5","m5_script3_ipad_confroom1.wav.png","m5_script3_ipadflat_confroom1.wav.png",0.9474125
"11587","m7","m7_script1_ipad_livingroom1.wav.png","m7_script1_ipad_bedroom1.wav.png",0.94725
"23017","m5","m5_script2_iphone_livingroom1.wav.png","m5_script2_iphone_bedroom1.wav.png",0.9471725
"38213","f1","f1_script1_ipad_office2.wav.png","f1_script1_ipad_confroom1.wav.png",0.9471325
"9431","m6","m6_script2_ipad_office2.wav.png","m6_script2_ipad_confroom1.wav.png",0.947105
"1519","m8","m8_script5_iphone_balcony1.wav.png","m8_script5_ipad_balcony1.wav.png",0.9470975
"23853","m2","m2_script3_ipad_livingroom1.wav.png","m2_script3_ipad_bedroom1.wav.png",0.9470825
"30545","f7","f7_script2_ipad_bedroom1.wav.png","f7_script2_ipad_office1.wav.png",0.9470625
"13321","m9","m9_script4_ipad_confroom2.wav.png","m9_script4_ipad_office1.wav.png",0.94703
"15504","f4","f4_script5_ipad_confroom1.wav.png","f4_script5_ipad_office2.wav.png",0.94694
"9047","m6","m6_script2_ipadflat_office1.wav.png","m6_script2_ipad_office1.wav.png",0.9468775
"10195","m6","m6_script5_ipad_office2.wav.png","m6_script5_ipad_confroom1.wav.png",0.9468575
"27476","m4","m4_script3_ipad_bedroom1.wav.png","m4_script3_ipad_livingroom1.wav.png",0.94684
"15807","f4","f4_script4_ipad_bedroom1.wav.png","f4_script4_ipad_livingroom1.wav.png",0.9467875
"31852","f7","f7_script5_ipad_office1.wav.png","f7_script5_ipadflat_office1.wav.png",0.946785
"38516","f1","f1_script4_ipad_office2.wav.png","f1_script4_ipad_confroom1.wav.png",0.9467825
"40728","f1","f1_script3_iphone_balcony1.wav.png","f1_script3_ipad_balcony1.wav.png",0.9467725
"15465","f4","f4_script2_iphone_bedroom1.wav.png","f4_script2_iphone_livingroom1.wav.png",0.9467275
